Date,Open,High,Low,Close,Volume,Adj Close
2011-08-11,370.52,375.45,364.72,373.70,26498900,357.19
2011-08-10,371.15,374.65,362.50,363.69,31380600,347.62
2011-08-09,361.30,374.61,355.00,374.01,38663700,357.48
2011-08-08,361.69,367.77,353.02,353.21,40851200,337.60
2011-08-05,380.44,383.50,362.57,373.62,43021100,357.11
2011-08-04,389.41,391.32,377.35,377.37,31121700,360.70
2011-08-03,390.98,393.55,382.24,392.57,26161000,375.22
2011-08-02,397.65,397.90,388.35,388.91,22840700,371.73
2011-08-01,397.78,399.50,392.37,396.75,21887000,379.22
2011-07-29,387.64,395.15,384.00,390.48,22592300,373.23
2011-07-28,391.62,396.99,388.13,391.82,21215500,374.51
2011-07-27,400.59,402.64,392.15,392.59,23547300,375.24
2011-07-26,400.00,404.50,399.68,403.41,17020800,385.59
2011-07-25,390.35,400.00,389.62,398.50,21064500,380.89
2011-07-22,388.32,395.05,387.75,393.30,18454600,375.92
2011-07-21,386.95,390.06,383.90,387.29,18804800,370.18
2011-07-20,396.12,396.27,386.00,386.90,33619300,369.81
2011-07-19,378.00,378.65,373.32,376.85,29255200,360.20
2011-07-18,365.43,374.65,365.28,373.80,20451900,357.28
2011-07-15,361.17,365.00,359.17,364.92,17302400,348.80
2011-07-14,361.01,361.61,356.34,357.77,15376200,341.96
2011-07-13,358.33,360.00,356.38,358.02,13987100,342.20
2011-07-12,353.53,357.68,348.62,353.75,16128900,338.12
2011-07-11,356.34,359.77,352.82,354.00,15809800,338.36
2011-07-08,353.34,360.00,352.20,359.71,17486900,343.82
2011-07-07,354.67,358.00,354.00,357.20,14273700,341.42
2011-07-06,348.95,354.10,346.71,351.76,15879500,336.22
2011-07-05,343.00,349.83,342.50,349.43,12680500,333.99
2011-07-01,335.95,343.50,334.20,343.26,15546900,328.09
2011-06-30,334.70,336.13,332.84,335.67,11534100,320.84
2011-06-29,336.04,336.37,331.88,334.04,12590900,319.28
2011-06-28,333.65,336.70,333.44,335.26,10510700,320.45
2011-06-27,327.59,333.90,327.25,332.04,12136200,317.37
2011-06-24,331.37,333.15,325.09,326.35,15707400,311.93
2011-06-23,318.94,331.69,318.12,331.23,19991400,316.59
2011-06-22,325.16,328.90,322.38,322.61,13949400,308.36
2011-06-21,316.68,325.80,315.20,325.30,17620800,310.93
2011-06-20,317.36,317.70,310.50,315.32,22880200,301.39
2011-06-17,328.99,329.25,319.36,320.26,21965000,306.11
2011-06-16,326.90,328.68,318.33,325.16,18235400,310.79
2011-06-15,329.75,330.30,324.88,326.75,14257000,312.31
2011-06-14,330.00,333.25,329.31,332.44,11948900,317.75
2011-06-13,327.20,328.31,325.07,326.60,11766900,312.17
2011-06-10,330.55,331.66,325.51,325.90,15498400,311.50
2011-06-09,333.25,333.67,330.75,331.49,9824600,316.84
2011-06-08,331.78,334.80,330.65,332.24,11918700,317.56
2011-06-07,338.17,338.22,331.90,332.04,18920900,317.37
2011-06-06,345.70,347.05,337.81,338.04,16497900,323.10
2011-06-03,343.18,345.33,342.01,343.44,11187500,328.27
2011-06-02,346.50,347.98,344.30,346.10,12099400,330.81
2011-06-01,348.87,352.13,344.65,345.51,19810100,330.24
2011-05-31,341.10,347.83,341.00,347.83,14919800,332.46
2011-05-27,334.80,337.63,334.31,337.41,7271400,322.50
2011-05-26,335.97,336.89,334.43,335.00,7948600,320.20
2011-05-25,333.43,338.56,332.85,336.78,10508000,321.90
2011-05-24,335.50,335.90,331.34,332.19,11497400,317.51
2011-05-23,329.97,335.98,329.42,334.40,13700000,319.62
2011-05-20,339.56,340.95,335.02,335.22,12070300,320.41
2011-05-19,342.08,342.41,338.67,340.53,9327500,325.48
2011-05-18,336.47,341.05,336.00,339.87,11956300,324.85
2011-05-17,332.00,336.14,330.73,336.14,16154800,321.29
2011-05-16,339.20,341.22,332.60,333.30,16063400,318.57
2011-05-13,345.66,346.25,340.35,340.50,11647000,325.46
2011-05-12,346.12,347.12,342.27,346.57,11500000,331.26
2011-05-11,349.02,350.00,345.24,347.23,12000000,331.89
